src,dst,kind,source,detail
RFC1213,RFC1158,obsoletes,RFC1213,rfc-index.xml
RFC1250,RFC1200,obsoletes,RFC1250,rfc-index.xml
RFC1280,RFC1250,obsoletes,RFC1280,rfc-index.xml
RFC1288,RFC1194,obsoletes,RFC1288,rfc-index.xml
RFC1325,RFC1206,obsoletes,RFC1325,rfc-index.xml
RFC1331,RFC1171,obsoletes,RFC1331,rfc-index.xml
RFC1331,RFC1172,obsoletes,RFC1331,rfc-index.xml
RFC1332,RFC1172,obsoletes,RFC1332,rfc-index.xml
RFC1340,RFC1060,obsoletes,RFC1340,rfc-index.xml
RFC1402,RFC1290,obsoletes,RFC1402,rfc-index.xml
RFC1421,RFC1113,obsoletes,RFC1421,rfc-index.xml
RFC1422,RFC1114,obsoletes,RFC1422,rfc-index.xml
RFC1423,RFC1115,obsoletes,RFC1423,rfc-index.xml
RFC1470,RFC1147,obsoletes,RFC1470,rfc-index.xml
RFC1505,RFC1154,obsoletes,RFC1505,rfc-index.xml
RFC1519,RFC1338,obsoletes,RFC1519,rfc-index.xml
RFC1548,RFC1331,obsoletes,RFC1548,rfc-index.xml
RFC1583,RFC1247,obsoletes,RFC1583,rfc-index.xml
RFC1594,RFC1325,obsoletes,RFC1594,rfc-index.xml
RFC1757,RFC1271,obsoletes,RFC1757,rfc-index.xml
RFC1812,RFC1009,obsoletes,RFC1812,rfc-index.xml
RFC1819,RFC1190,obsoletes,RFC1819,rfc-index.xml
RFC1983,RFC1392,obsoletes,RFC1983,rfc-index.xml
RFC1989,RFC1333,obsoletes,RFC1989,rfc-index.xml
RFC2132,RFC1533,obsoletes,RFC2132,rfc-index.xml
RFC2178,RFC1583,obsoletes,RFC2178,rfc-index.xml
RFC2196,RFC1244,obsoletes,RFC2196,rfc-index.xml
RFC2200,RFC1250,obsoletes,RFC2200,rfc-index.xml
RFC2248,RFC1565,obsoletes,RFC2248,rfc-index.xml
RFC2249,RFC1566,obsoletes,RFC2249,rfc-index.xml
RFC2328,RFC2178,obsoletes,RFC2328,rfc-index.xml
RFC2362,RFC2117,obsoletes,RFC2362,rfc-index.xml
RFC2463,RFC1885,obsoletes,RFC2463,rfc-index.xml
RFC2605,RFC1567,obsoletes,RFC2605,rfc-index.xml
RFC2720,RFC2064,obsoletes,RFC2720,rfc-index.xml
RFC2722,RFC2063,obsoletes,RFC2722,rfc-index.xml
RFC2789,RFC1566,obsoletes,RFC2789,rfc-index.xml
RFC2821,RFC821,obsoletes,RFC2821,rfc-index.xml
RFC2822,RFC822,obsoletes,RFC2822,rfc-index.xml
RFC3173,RFC2393,obsoletes,RFC3173,rfc-index.xml
RFC3220,RFC2002,obsoletes,RFC3220,rfc-index.xml
RFC3344,RFC3220,obsoletes,RFC3344,rfc-index.xml
RFC4302,RFC2402,obsoletes,RFC4302,rfc-index.xml
RFC4303,RFC2406,obsoletes,RFC4303,rfc-index.xml
RFC4443,RFC2463,obsoletes,RFC4443,rfc-index.xml
RFC4632,RFC1519,obsoletes,RFC4632,rfc-index.xml
RFC4867,RFC3267,obsoletes,RFC4867,rfc-index.xml
RFC4960,RFC2960,obsoletes,RFC4960,rfc-index.xml
RFC5311,RFC3786,obsoletes,RFC5311,rfc-index.xml
RFC5340,RFC2740,obsoletes,RFC5340,rfc-index.xml
RFC5944,RFC3344,obsoletes,RFC5944,rfc-index.xml
RFC6247,RFC1379,obsoletes,RFC6247,rfc-index.xml
RFC6247,RFC1644,obsoletes,RFC6247,rfc-index.xml
RFC6275,RFC3775,obsoletes,RFC6275,rfc-index.xml
RFC7401,RFC5201,obsoletes,RFC7401,rfc-index.xml
