id,label,birth_date,defining_rfcs,description,source
SYSLOG-CONN,SYSLOG-CONN,2001-11-01,RFC3195,Reliable Syslog Service,RFC Editor (rfc-index.xml)
TACACS,TACACS,2020-09-01,"RFC8907,RFC9887",Login Host Protocol (TACACS),RFC Editor (rfc-index.xml)
TACACSS,TACACSS,2025-12-01,RFC9887,TLS Secure Login Host Protocol (TACACSS),RFC Editor (rfc-index.xml)
TBRPF,TBRPF,2004-02-01,RFC3684,TBRPF,RFC Editor (rfc-index.xml)
TCPMUX,TCPMUX,1988-11-01,RFC1078,TCP Port Service Multiplexer,RFC Editor (rfc-index.xml)
TELNET,TELNET,1983-05-01,RFC854,Telnet,RFC Editor (rfc-index.xml)
TUNNEL,TUNNEL,2003-10-01,RFC3620,TUNNEL,RFC Editor (rfc-index.xml)
TWAMP-CONTROL,TWAMP-CONTROL,2008-10-01,RFC5357,TWAMP-Control,RFC Editor (rfc-index.xml)
TWAMP-TEST,TWAMP-TEST,2019-03-01,RFC8545,TWAMP-Test Receiver Port,RFC Editor (rfc-index.xml)
VEMMI,VEMMI,1997-03-01,RFC2122,VEMMI,RFC Editor (rfc-index.xml)
WEBPUSH,WEBPUSH,2016-12-01,RFC8030,HTTP Web Push,RFC Editor (rfc-index.xml)
WHOIS++,WHOIS++,1996-02-01,"RFC1913,RFC1914",whois++,RFC Editor (rfc-index.xml)
WHOISPP,WHOISPP,1994-10-01,RFC1700,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++"".",RFC Editor (rfc-index.xml)
WWW,WWW,2022-06-01,RFC9110,World Wide Web HTTP,RFC Editor (rfc-index.xml)
WWW-HTTP,WWW-HTTP,2013-07-01,"RFC6948,RFC9505",World Wide Web HTTP,RFC Editor (rfc-index.xml)
XMLRPC-BEEP,XMLRPC-BEEP,2003-04-01,RFC3529,XML-RPC over BEEP,RFC Editor (rfc-index.xml)
Z39.50,Z39.50,1994-12-01,RFC1729,ANSI Z39.50,RFC Editor (rfc-index.xml)
